epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5452261567115784,0.5889748334884644,9.999999747378752e-05,5.181346416473389,0.7740384340286255,0.5457627177238464,0.25882354378700256,0.45670995116233826,6.978870391845703,0.0,0.0
1,0.6055276393890381,0.6661181449890137,9.999999747378752e-05,4.865271091461182,0.8631578683853149,0.5559322237968445,0.25882354378700256,0.5,8.277238845825195,0.0,0.0
2,0.6507537961006165,0.7496626377105713,9.999999747378752e-05,4.494251251220703,0.8899999856948853,0.6033898591995239,0.25882354378700256,0.5,9.110280990600586,0.0,0.0
3,0.5854271650314331,0.7391476035118103,9.999999747378752e-05,4.420480251312256,0.8823529481887817,0.508474588394165,0.25882354378700256,0.5,9.375426292419434,0.0,0.0
4,0.6532663106918335,0.772650957107544,9.999999747378752e-05,4.306985378265381,0.8905472755432129,0.6067796349525452,0.25882354378700256,0.5,9.324833869934082,0.0,0.0
5,0.6658291220664978,0.8329768180847168,9.999999747378752e-05,4.107318878173828,0.921875,0.6000000238418579,0.25882354378700256,0.5,9.51230525970459,0.0,0.0
6,0.6582914590835571,0.8086720108985901,1.9999999494757503e-05,4.095555782318115,0.9076923131942749,0.6000000238418579,0.25882354378700256,0.5,9.636455535888672,0.0,0.0
7,0.6758794188499451,0.7995227575302124,1.9999999494757503e-05,4.069242477416992,0.9322916865348816,0.6067796349525452,0.25882354378700256,0.5,9.837129592895508,0.0,0.0
8,0.6809045076370239,0.8447259664535522,1.9999999494757503e-05,3.9761664867401123,0.9375,0.6101694703102112,0.25882354378700256,0.5,9.913445472717285,0.0,0.0
9,0.6758794188499451,0.8348033428192139,1.9999999494757503e-05,4.007901668548584,0.9278350472450256,0.6101694703102112,0.25882354378700256,0.5,9.967001914978027,0.0,0.0
10,0.6834170818328857,0.8523119688034058,1.9999999494757503e-05,3.932382583618164,0.9470899701118469,0.6067796349525452,0.25882354378700256,0.5,10.077401161193848,0.0,0.0
11,0.6532663106918335,0.8546816110610962,3.999999989900971e-06,3.909111499786377,0.9337016344070435,0.5728813409805298,0.25882354378700256,0.5,10.160198211669922,0.0,0.0
12,0.7010050415992737,0.870709240436554,3.999999989900971e-06,3.885699510574341,0.9489796161651611,0.6305084824562073,0.25882354378700256,0.5,10.209177017211914,0.0,0.0
13,0.6733668446540833,0.8494323492050171,3.999999989900971e-06,3.921459913253784,0.9365079402923584,0.6000000238418579,0.25882354378700256,0.5,10.297837257385254,0.0,0.0
14,0.660804033279419,0.8455651998519897,3.999999989900971e-06,3.9198198318481445,0.9545454382896423,0.5694915056228638,0.25882354378700256,0.5,10.354031562805176,0.0,0.0
15,0.6809045076370239,0.8252263069152832,3.999999989900971e-06,3.9251561164855957,0.9158415794372559,0.6271186470985413,0.25882354378700256,0.5,10.38883113861084,0.0,0.0
