,precision,recall,f1-score,support
0,0.9565217391304348,1.0,0.9777777777777777,22.0
1,1.0,0.984375,0.9921259842519685,64.0
accuracy,0.9883720930232558,0.9883720930232558,0.9883720930232558,0.9883720930232558
macro avg,0.9782608695652174,0.9921875,0.9849518810148732,86.0
weighted avg,0.9888776541961577,0.9883720930232558,0.9884555128283382,86.0
