epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8417085409164429,0.9630245566368103,0.0010000000474974513,0.34524795413017273,0.9793388247489929,0.803389847278595,0.800000011920929,1.0,0.3903924524784088,1.0,0.7301587462425232
1,0.9195979833602905,0.9898797869682312,0.0010000000474974513,0.18344511091709137,0.99622642993927,0.8949152827262878,1.0,1.0,0.010517459362745285,1.0,1.0
2,0.9195979833602905,0.9959024786949158,0.0010000000474974513,0.13915349543094635,1.0,0.8915254473686218,0.9882352948188782,1.0,0.04847316816449165,1.0,0.9841269850730896
3,0.9522613286972046,0.9967418313026428,0.0010000000474974513,0.1004592552781105,0.9964028596878052,0.9389830231666565,0.9882352948188782,1.0,0.02997880056500435,1.0,0.9841269850730896
4,0.947236180305481,0.9981240630149841,0.0010000000474974513,0.09247559309005737,0.9963768124580383,0.9322034120559692,1.0,1.0,0.007186964154243469,1.0,1.0
5,0.9673366546630859,0.9971696138381958,0.0010000000474974513,0.08222651481628418,0.9964788556098938,0.9593220353126526,1.0,1.0,0.009386236779391766,1.0,1.0
6,0.9572864174842834,0.9956063032150269,0.0010000000474974513,0.08936558663845062,0.9964285492897034,0.9457626938819885,1.0,1.0,0.021871190518140793,1.0,1.0
7,0.9773869514465332,0.9974822998046875,0.0010000000474974513,0.06517646461725235,1.0,0.9694915413856506,1.0,1.0,0.015458447858691216,1.0,1.0
8,0.9773869514465332,0.9970380067825317,0.0010000000474974513,0.06856085360050201,1.0,0.9694915413856506,1.0,1.0,0.0071175359189510345,1.0,1.0
9,0.9748743772506714,0.9951785206794739,0.0010000000474974513,0.07404746860265732,0.9930796027183533,0.9728813767433167,1.0,1.0,0.009818049147725105,1.0,1.0
10,0.9623115658760071,0.9978278279304504,0.00020000000949949026,0.08085589855909348,1.0,0.9491525292396545,1.0,1.0,0.019189395010471344,1.0,1.0
11,0.9648241400718689,0.9971531629562378,0.00020000000949949026,0.08506496995687485,1.0,0.9525423645973206,1.0,1.0,0.016246335580945015,1.0,1.0
12,0.9874371886253357,0.9994898438453674,0.00020000000949949026,0.04510603845119476,1.0,0.9830508232116699,1.0,1.0,0.010369396768510342,1.0,1.0
13,0.979899525642395,0.9998847842216492,0.00020000000949949026,0.04372043162584305,1.0,0.9728813767433167,1.0,1.0,0.008906214497983456,1.0,1.0
14,0.9673366546630859,0.998239278793335,0.00020000000949949026,0.07518508285284042,1.0,0.9559321999549866,1.0,1.0,0.011680212803184986,1.0,1.0
15,0.9748743772506714,0.9997696280479431,4.0000002627493814e-05,0.04350544512271881,1.0,0.9661017060279846,1.0,1.0,0.014057768508791924,1.0,1.0
16,0.9698492288589478,0.9959518909454346,4.0000002627493814e-05,0.06518124043941498,1.0,0.9593220353126526,1.0,1.0,0.01728297956287861,1.0,1.0
17,0.9874371886253357,0.9996708631515503,4.0000002627493814e-05,0.03647651895880699,1.0,0.9830508232116699,1.0,1.0,0.019458113238215446,1.0,1.0
18,0.9623115658760071,0.9986342191696167,4.0000002627493814e-05,0.0712599977850914,1.0,0.9491525292396545,1.0,1.0,0.019912613555788994,1.0,1.0
